Normais Climatológicas do Brasil 1961-1990
Pressão Atmosférica ao Nível do Barômetro (hPa)
Código;Nome da Estação;UF;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Ano
83339;Caetité;BA;915,7;916,0;915,8;916,4;917,2;918,3;918,7;918,3;917,5;916,4;915,9;915,7;916,8
83498;Caravelas;BA;1011,8;1011,9;1012,5;1013,3;1015,3;1017,9;1019,3;1018,4;1017,2;1014,6;1012,7;1012,1;1014,8
83348;Ilhéus;BA;1005,6;1005,5;1005,8;1006,4;1008,3;1010,3;1011,7;1011,1;1010,1;1007,7;1005,6;1005,2;1007,8
83244;Itaberaba;BA;983,1;982,8;983,2;983,4;984,9;987,5;988,3;988,0;987,0;984,8;983,3;982,9;984,9
83295;Itiruçu (Jaguaquara);BA;929,7;930,0;930,4;930,6;931,9;933,3;934,5;934,1;933,2;931,3;930,1;929,5;931,6
83186;Jacobina;BA;958,3;958,3;958,6;959,1;960,8;962,8;963,5;962,9;962,0;959,5;958,4;958,2;960,2
83242;Lençóis;BA;964,2;964,4;964,4;965,1;966,7;968,5;969,4;968,8;967,8;965,6;964,5;964,1;966,1
83090;Monte Santo;BA;957,9;957,7;958,0;958,6;960,0;961,7;962,7;962,3;961,4;959,3;958,0;957,9;959,6
83184;Morro do Chapéu;BA;897,8;897,5;897,9;898,2;899,5;901,1;901,5;901,3;900,5;899,2;897,4;897,9;899,1
82986;Paulo Afonso;BA;982,3;982,3;982,4;982,8;984,0;986,2;986,9;986,7;985,7;983,7;982,4;982,1;984,0
82979;Remanso;BA;966,3;966,2;966,6;967,0;968,1;969,7;970,6;969,6;968,4;966,8;965,9;966,0;967,6
83229;Salvador (Ondina);BA;1006,3;1006,3;1005,8;1006,6;1008,3;1010,4;1011,5;1011,4;1010,4;1008,2;1006,7;1006,2;1008,2
83076;Santa Rita de Cássia (Ibipetuba);BA;960,0;959,7;960,4;960,5;961,4;963,3;963,4;962,5;961,1;959,9;959,4;959,4;960,9
83223;São Francisco do Conde;BA;1009,7;1009,9;1010,5;1010,7;1012,7;1014,7;1015,9;1015,6;1014,3;1012,2;1010,1;1009,9;1012,2
83190;Serrinha;BA;970,5;970,6;970,9;971,3;973,0;975,0;975,8;975,3;974,6;972,5;970,8;970,5;972,6
82784;Barbalha;CE;963,8;964,3;964,4;964,9;965,9;967,4;968,4;967,3;966,2;964,7;963,8;963,8;965,4
82777;Campos Sales;CE;945,6;946,3;946,5;947,1;947,6;949,8;950,0;949,8;947,8;947,0;946,2;945,8;947,5
82583;Crateús;CE;976,9;977,7;977,8;978,2;979,0;980,1;980,4;979,9;979,1;977,6;976,9;977,1;978,4
82397;Fortaleza;CE;1007,4;1007,5;1007,6;1007,8;1008,5;1009,9;1010,6;1010,0;1009,9;1008,7;1008,2;1007,8;1008,7
82487;Guaramiranga;CE;916,3;915,8;915,7;915,8;916,6;917,6;918,2;917,7;917,4;916,0;915,7;915,1;916,5
82686;Iguatu;CE;985,3;985,3;985,5;985,7;986,7;988,2;988,7;988,7;987,2;987,9;984,9;984,9;986,6
82493;Jaguaruana;CE;1009,0;1009,0;1008,9;1009,2;1010,1;1011,5;1012,1;1011,7;1011,1;1009,9;1009,3;1009,1;1010,1
82588;Morada Nova;CE;1005,4;1005,7;1005,9;1006,1;1006,5;1008,4;1009,1;1008,8;1007,9;1006,5;1005,9;1005,6;1006,8
82586;Quixeramobim;CE;986,6;986,9;987,0;987,0;988,1;988,6;989,8;989,3;988,8;986,8;986,5;986,5;987,7
82392;Sobral;CE;1001,2;1001,6;1001,2;1001,6;1002,2;1003,7;1004,5;1004,0;1003,3;1002,0;1000,9;1000,9;1002,3
83377;Brasília;DF;885,9;885,4;885,6;886,4;887,6;889,0;889,2;888,2;887,2;885,8;884,8;884,8;886,7
83646;Cachoeiro do Itapemirim;ES;1004,6;1005,2;1006,1;1007,4;1009,8;1011,8;1012,9;1011,6;1010,4;1007,7;1005,5;1005,0;1008,2
83597;Linhares;ES;1010,5;1010,8;1010,4;1012,0;1013,9;1016,2;1017,4;1016,6;1015,6;1012,8;1011,0;1010,1;1013,1
83648;Vitória;ES;1008,7;1009,2;1009,3;1010,9;1012,9;1015,1;1016,3;1015,1;1014,1;1011,5;1009,5;1008,8;1011,8
83368;Aragarças;GO;974,2;974,6;974,5;975,5;976,8;978,6;978,7;977,1;975,8;947,3;974,1;973,8;973,4
83526;Catalão;GO;916,4;916,5;917,0;917,9;919,2;920,9;921,3;920,0;918,6;917,1;915,9;915,8;918,1
83379;Formosa;GO;909,0;909,3;909,1;910,2;911,6;913,2;913,4;912,5;910,9;909,7;909,0;908,2;910,5
83423;Goiânia;GO;927,9;928,2;928,6;929,3;930,7;932,2;932,6;931,3;929,8;928,6;927,7;927,5;929,5
83374;Goiás;GO;953,6;953,8;953,9;954,6;955,6;957,6;957,7;956,3;955,0;954,0;953,6;953,6;954,9
83522;Ipameri;GO;927,1;927,9;927,8;929,0;930,5;932,1;932,6;931,1;929,6;928,2;927,2;926,8;929,2
83376;Pirenópolis;GO;926,1;926,5;926,5;927,2;928,5;930,2;930,4;929,0;927,8;926,6;926,1;925,9;927,6
83332;Posse;GO;919,9;920,3;920,1;920,6;921,6;923,3;923,5;922,7;921,5;920,2;919,8;919,9;921,1
83470;Rio Verde;GO;928,2;928,9;928,6;930,1;931,5;933,0;933,5;931,9;930,6;928,9;928,2;928,2;930,1
82460;Bacabal;MA;1006,3;1006,4;1006,6;1006,2;1007,0;1008,4;-;-;1007,1;1006,0;1005,2;1005,6;-
82768;Balsas;MA;979,0;979,1;979,6;979,1;979,9;982,0;-;-;980,5;979,6;979,2;979,4;-
82571;Barra do Corda;MA;995,2;993,5;995,6;995,1;996,1;996,4;996,3;995,1;995,8;994,8;994,8;994,3;995,2
82765;Carolina;MA;988,9;988,9;988,8;988,7;989,4;990,9;990,9;990,1;989,4;988,8;988,4;988,4;989,3
82476;Caxias;MA;999,0;999,1;999,3;999,4;999,8;1001,1;1000,3;1000,3;999,8;998,6;997,8;998,2;999,4
82382;Chapadinha;MA;996,6;996,7;996,7;996,6;997,4;998,9;999,8;999,3;-;997,3;996,7;996,7;-
82676;Colinas;MA;987,8;987,9;987,7;987,8;989,4;990,2;991,2;-;989,3;988,3;987,6;987,9;-
82568;Grajaú;MA;991,8;991,8;991,8;991,9;992,7;993,7;994,2;993,5;992,6;991,7;991,2;991,5;992,4
82564;Imperatriz;MA;994,7;994,8;994,7;994,7;995,2;996,8;996,9;996,2;995,5;994,7;994,2;994,3;995,2
82280;São Luís;MA;1004,4;1004,4;1004,5;1004,6;1005,2;1006,2;1006,8;1006,3;1005,8;1004,8;1004,1;1004,0;1005,1
82198;Turiaçu;MA;1003,8;1003,8;1003,9;1003,8;1004,6;1005,8;1006,1;1005,7;1005,2;1004,2;1003,5;1003,4;1004,5
82376;Zé Doca;MA;1004,2;1004,3;1004,3;1004,3;1004,9;1006,3;1006,7;1006,1;1005,4;1004,3;1003,7;1003,8;1004,9
83442;Araçuaí;MG;976,8;977,0;976,9;978,4;980,0;982,0;982,9;982,0;980,5;978,1;977,1;976,7;979,0
83579;Araxá;MG;899,3;900,1;899,8;900,8;902,3;903,8;904,1;903,0;902,1;900,1;899,2;898,9;901,1
83582;Bambuí;MG;936,7;937,0;936,9;937,2;938,7;941,5;942,2;940,0;938,7;936,4;935,7;935,3;938,0
83689;Barbacena;MG;887,8;888,5;889,0;889,8;891,0;892,5;893,2;892,1;891,2;890,0;887,9;887,7;890,1
83587;Belo Horizonte;MG;915,5;916,0;916,2;917,2;918,7;920,2;921,1;919,9;918,5;916,6;915,3;915,0;917,5
83681;Caldas (P. de Caldas);MG;879,4;879,9;881,1;881,7;883,4;884,3;884,9;883,8;882,3;880,8;879,3;879,1;881,7
83685;Cambuquira;MG;907,6;908,0;909,4;909,8;912,0;912,8;913,5;912,4;910,9;909,4;907,6;907,4;910,1
83514;Capinópolis;MG;941,9;942,3;942,5;943,9;945,6;947,0;947,5;946,1;944,6;942,8;941,7;941,7;944,0
83592;Caratinga;MG;944,3;945,3;945,3;947,4;948,3;950,2;951,5;950,2;948,6;946,1;944,7;944,3;947,2
83027;Cataguases;MG;992,0;991,1;993,6;994,4;996,5;999,0;999,9;998,1;995,6;993,6;992,3;991,9;994,8
83589;Conceição do Mato Dentro;MG;937,3;937,4;938,0;939,3;941,2;942,7;943,4;942,3;941,0;938,7;937,0;937,0;939,6
83037;Coronel Pacheco;MG;964,1;964,3;964,9;966,5;968,4;969,1;970,0;968,7;-;965,0;964,1;964,0;-
83538;Diamantina;MG;870,6;871,2;871,0;871,7;872,8;874,4;874,8;874,2;873,2;871,3;870,4;870,2;872,1
83338;Espinosa;MG;947,0;947,3;947,1;948,1;949,4;951,5;951,9;950,8;949,4;947,8;946,6;946,7;948,6
83581;Florestal;MG;926,3;926,8;928,4;929,0;931,1;932,3;932,9;931,5;929,6;928,0;926,4;926,2;929,0
83574;Frutal;MG;950,9;951,2;952,6;953,5;955,4;956,7;957,0;955,4;953,2;952,2;950,6;950,8;953,3
83543;Governador Valadares;MG;987,9;988,2;988,4;989,3;991,7;993,1;994,3;993,8;992,0;989,5;987,0;986,6;990,2
83632;Ibirité;MG;921,0;921,0;923,6;922,9;925,3;925,6;927,3;925,6;924,2;922,8;920,7;920,9;923,4
83488;Itamarandiba;MG;892,5;894,2;894,5;895,0;897,1;897,4;898,0;897,0;895,6;894,2;894,4;893,7;895,3
83386;Januária;MG;957,7;957,8;957,5;958,3;960,4;962,3;962,4;961,8;959,8;957,7;957,2;957,0;959,2
83591;João Monlevade;MG;-;917,0;918,0;918,1;919,9;921,2;921,8;921,2;920,2;918,5;916,8;-;-
83481;João Pinheiro;MG;927,2;927,5;927,9;928,9;930,0;931,8;932,9;931,3;930,0;928,0;927,1;927,1;929,1
83692;Juiz de Fora;MG;909,3;910,6;910,4;912,4;912,4;914,0;914,6;914,2;913,2;911,5;910,4;909,7;911,9
83687;Lavras;MG;911,9;912,2;912,7;913,8;915,3;916,9;917,1;916,1;915,0;912,4;911,6;911,7;913,9
83683;Machado;MG;915,1;916,0;916,3;917,4;919,0;920,1;921,0;919,6;918,4;916,4;915,1;914,9;917,4
83437;Montes Claros;MG;939,9;940,4;939,9;941,5;942,9;944,7;945,0;943,7;942,4;940,4;939,7;939,4;941,7
83637;Oliveira;MG;906,4;906,7;908,0;908,5;910,5;911,6;912,4;910,9;909,7;907,9;906,3;906,1;908,8
83479;Paracatu;MG;931,5;932,1;932,0;933,3;935,0;936,4;936,9;936,0;934,5;932,5;931,7;931,5;933,6
83737;Passa Quatro;MG;911,7;912,3;913,7;914,4;916,3;917,6;918,2;916,8;915,6;913,7;911,8;911,7;914,5
